time (source2)	Light
2095.762	106
2096.786	106
2097.8	105
2098.809	106
2100.85	105
2101.863	106
2103.872	105
2104.884	105
2105.873	105
2106.905	106
2107.927	105
2108.897	105
2110.922	105
2111.928	105
2112.99	105
2113.999	105
2114.994	105
2115.916	105
2116.93	105
2118.024	105
2119.028	105
2120.018	105
2121.072	105
2122.049	105
2123.058	105
2124.052	105
2125.099	105
2126.083	105
2127.093	105
2128.141	104
2129.115	104
2130.124	104
2131.152	104
2132.193	104
2133.178	104
2134.196	104
2135.214	104
2136.182	104
2137.246	104
2138.208	104
2139.24	104
2140.226	104
2141.234	103
2142.284	103
2143.277	103
2145.311	103
2146.31	103
2147.303	103
2148.341	103
2149.344	103
2150.341	103
2151.352	103
2152.343	102
2153.404	102
2154.396	102
2155.379	102
2156.315	102
2157.351	102
2158.443	102
2159.425	101
2160.462	101
2161.449	101
2162.475	101
2164.484	101
2165.485	101
2166.503	101
2167.547	101
2168.56	100
2169.536	100
2170.555	100
2171.577	100
2172.562	100
2173.579	100
2174.585	100
2175.587	99
2177.604	99
2179.64	99
2180.641	99
2181.689	99
2182.705	99
2183.689	99
2184.725	98
2185.696	98
2186.716	98
2187.793	98
2188.76	98
2189.735	98
2190.749	98
2192.781	98
2193.813	97
2194.796	97
2195.794	97
2196.81	97
2197.797	97
2198.812	97
2199.848	97
2200.86	97
2201.882	97
2202.871	97
2203.891	96
2204.91	96
2205.926	96
2206.918	96
2207.927	96
2208.939	96
2209.999	96
2210.989	96
2212.009	96
2212.971	95
2214.036	95
2214.999	95
2217.069	95
2218.036	95
2219.091	95
2220.08	95
2221.104	95
2222.104	95
2223.078	95
2224.081	95
2225.118	95
2226.152	95
2227.171	95
2231.221	94
2233.209	94
2234.194	94
2235.252	94
2236.233	94
2237.269	94
2241.37	93
2242.372	93
2244.369	93
2245.363	93
2246.381	93
2247.413	93
2248.392	93
2249.416	93
2250.42	93
2251.447	93
2252.483	93
2253.481	93
2256.535	93
2257.53	92
2259.509	92
2260.561	93
2261.554	92
2262.544	92
2263.59	92
2264.562	92
2265.569	92
2266.588	92
2267.59	92
2268.603	92
2269.607	92
2270.662	92
2271.636	92
2272.671	92
2273.668	92
2274.695	92
2275.673	92
2276.701	92
2277.737	93
2278.736	92
2279.702	92
2280.678	92
2281.773	93
2282.767	93
2283.797	93
2284.772	93
2285.832	93
2286.837	93
2287.805	93
2288.827	93
2290.838	93
2291.86	93
2292.887	93
2293.867	94
2294.906	93
2295.884	93
2297.929	94
2298.924	94
2299.935	94
2300.944	94
2303.002	94
2304.006	94
2306.015	94
2308.047	94
2309.031	94
2310.03	94
2311.077	94
2313.119	95
2314.108	95
2315.097	94
2316.106	94
2317.144	94
2318.121	94
2319.13	94
2320.179	94
2321.107	94
2322.154	94
2323.162	94
2324.217	94
2325.194	94
2326.258	94
2328.319	93
2329.336	93
2330.343	93
2331.343	93
2332.458	93
2333.372	93
2334.461	93
2336.443	93
2337.438	93
2338.461	93
2339.44	93
2340.448	92
2341.494	93
2343.529	92
2344.499	92
2345.528	92
2346.579	92
2347.609	92
2348.605	92
2349.532	92
2350.628	92
2351.603	92
2352.565	91
2353.652	92
2354.51	91
2355.653	91
